trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1073,False,"{'a': 0.7, 'e': 0.9665553909333254}",20,13,15.04896710824298,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1074,False,"{'a': 0.7, 'e': 0.5740475967590247}",30,15,27.476933329745666,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1075,False,"{'a': 0.7, 'e': 0.08844375191220621}",20,3,29.7740138739443,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1076,False,"{'a': 0.7, 'e': 0.7093386220872963}",20,5,22.18338488952844,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1077,False,"{'a': 0.7, 'e': 0.9966204545730911}",25,8,22.78222757031473,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1078,False,"{'a': 0.7, 'e': 0.8151761146489994}",25,8,34.506463203168124,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1079,False,"{'a': 0.7, 'e': 0.25034171052729376}",30,24,10.015318972593507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1080,False,"{'a': 0.7, 'e': 0.4322323117525429}",20,1,30.65150028890151,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1081,False,"{'a': 0.7, 'e': 0.9115207239989133}",20,16,8.847692550069915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.7, 'e': 0.9621066968444448}",30,21,18.69044720008568,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.7, 'e': 0.5601988568322434}",25,9,30.273050236392592,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1084,False,"{'a': 0.7, 'e': 0.1051792588968227}",20,16,9.57663579655905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1085,False,"{'a': 0.7, 'e': 0.7210899256954519}",20,10,18.47971696201988,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1086,False,"{'a': 0.7, 'e': 0.997860733098565}",20,12,10.48108235814217,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1087,False,"{'a': 0.7, 'e': 0.8053220457213875}",20,14,10.249592700478775,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1088,False,"{'a': 0.7, 'e': 0.23402781673742798}",25,11,20.318919624879047,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1089,False,"{'a': 0.7, 'e': 0.44733335124373297}",20,6,24.30980827186638,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1090,False,"{'a': 0.7, 'e': 0.9183066543585159}",20,14,13.182042156560815,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1091,False,"{'a': 0.7, 'e': 0.957385988991182}",20,8,18.8804466077586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1092,False,"{'a': 0.7, 'e': 0.5461917334325507}",25,17,17.571216265868923,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1093,False,"{'a': 0.7, 'e': 0.1218850288405846}",20,8,22.57604564442394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1094,False,"{'a': 0.7, 'e': 0.7326373575439701}",30,15,29.683019548494215,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1095,False,"{'a': 0.7, 'e': 0.9988188892198883}",25,14,20.508900534432847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1096,False,"{'a': 0.7, 'e': 0.7952402903200453}",20,10,17.05692550417577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1097,False,"{'a': 0.7, 'e': 0.21764775691034066}",25,13,20.786598394715664,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1098,False,"{'a': 0.7, 'e': 0.462307917414222}",20,13,12.712871211662794,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1099,False,"{'a': 0.7, 'e': 0.924832954418485}",30,16,27.287668082914937,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1100,False,"{'a': 0.7, 'e': 0.952394602046143}",35,18,30.96897425706274,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.7, 'e': 0.5320301867553794}",20,10,15.793020813893978,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.7, 'e': 0.13855633856749036}",25,10,29.42195593674763,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.7, 'e': 0.7439776528594743}",25,5,29.57277797458993,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1104,False,"{'a': 0.7, 'e': 0.9994946520402188}",30,8,32.00553110844054,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1105,False,"{'a': 0.7, 'e': 0.7849336988316465}",25,11,24.119489026516206,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1106,False,"{'a': 0.7, 'e': 0.20120616213524736}",25,14,19.98048485870715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1107,False,"{'a': 0.7, 'e': 0.47715177654644875}",20,4,26.50942118767438,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1108,False,"{'a': 0.7, 'e': 0.9310977790161086}",20,14,11.8585246132307,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.7, 'e': 0.9471339472104161}",30,15,30.802082827995395,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1110,False,"{'a': 0.7, 'e': 0.5177182206554476}",20,1,27.98812802031488,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1111,False,"{'a': 0.7, 'e': 0.15518847464404217}",20,10,20.176759677049105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1112,False,"{'a': 0.7, 'e': 0.755107605431721}",20,13,14.151169244822299,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1113,False,"{'a': 0.7, 'e': 0.9998878305030117}",20,12,15.18147719431532,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1114,False,"{'a': 0.7, 'e': 0.7744051852104256}",25,13,19.41114718316859,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1115,False,"{'a': 0.7, 'e': 0.18470768089852546}",30,0,51.098300305698835,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
1116,False,"{'a': 0.7, 'e': 0.49186073187699036}",20,14,11.430509919704582,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1117,False,"{'a': 0.7, 'e': 0.9370993569149015}",20,0,26.631947904603003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1118,False,"{'a': 0.7, 'e': 0.9416055118143546}",30,11,30.82283786095416,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
